Planet,Earth_Masses,Temperature_Kelvin,Year
Mercury,0.0553,449,2000
Venus,0.815,328,2000
Earth,1,287,2000
Mars,0.107,226,2000
Saturn,95.2,90,2000
Jupiter,317.8,122,2000
Neptune,17.1,51,2000
Uranus,14.5,64,2000
11 Com b,5125.4784,849.8,2008
11 UMi b,3523.4486,1176.6,2009
14 And b,1488.5752,862.8,2008
14 Her b,1657.327,182.4,2002
18 Del b,3272.7044,475.9,2008
24 Sex b,583.4808,450.9,2010
24 Sex c,482.1026,421.6,2010
30 Ari B b,3139.2284,365.3,2009
4 UMa b,2266.5496,1774.3,2007
42 Dra b,1186.0296,1117.7,2009
47 UMa b,809.1188,210.3,1996
47 UMa c,173.5188,167.1,2001
51 Peg b,146.5058,1245.2,1995
55 Cnc b,254.5578,723.9,1996
55 Cnc c,52.437,517.8,2002
55 Cnc d,1126.601,105,2002
55 Cnc e,8.2628,1957.9,2004
55 Cnc f,54.9794,335.4,2007
6 Lyn b,702.0202,392.3,2008
61 Vir b,5.0848,1265.9,2009
61 Vir c,10.4874,615.2,2009
61 Vir d,22.8816,478.4,2009
7 CMa b,772.8896,279.6,2011
70 Vir b,2371.1058,627.7,1996
75 Cet b,877.128,579.9,2012
81 Cet b,1370.0358,688.4,2008
CoRoT-1 b,326.0628,1899.4,2007
CoRoT-10 b,875.2212,976.8,2010
CoRoT-11 b,740.7918,1731.5,2010
CoRoT-12 b,291.1048,1496,2010
CoRoT-13 b,416.318,1274.7,2010
CoRoT-14 b,2405.1104,1951,2010
CoRoT-16 b,170.3408,1460.5,2010
CoRoT-17 b,781.4702,1552.5,2010
CoRoT-18 b,1105.944,1557.3,2011
CoRoT-19 b,351.8046,1699.8,2011
CoRoT-2 b,1040.1594,1548,2007
CoRoT-20 b,1348.1076,1440.9,2011
CoRoT-22 b,13.0298,1046.1,2014
CoRoT-23 b,977.8706,1791.2,2011
CoRoT-25 b,84.217,1321.4,2013
CoRoT-26 b,152.2262,1574.1,2013
CoRoT-27 b,3295.9038,1368.6,2014
CoRoT-28 b,153.8152,1396.9,2015
CoRoT-29 b,270.7656,1272.2,2015
CoRoT-3 b,6927.7222,1694.4,2008
CoRoT-4 b,227.8626,1074.2,2008
CoRoT-5 b,146.5058,1507.1,2008
CoRoT-6 b,938.4634,1017.1,2009
CoRoT-7 b,4.4492,1809.3,2009
CoRoT-8 b,68.6448,853.7,2010
CoRoT-9 b,268.2232,436.9,2010
HAT-P-1 b,168.7518,1304.7,2006
HAT-P-11 b,26.3774,972.3,2009
HAT-P-12 b,67.0558,958.2,2009
HAT-P-13 b,270.4478,1658.6,2009
HAT-P-13 c,4535.006,528.6,2009
HAT-P-14 b,706.1516,1657,2010
HAT-P-15 b,620.0278,998,2010
HAT-P-16 b,1333.171,1654.4,2010
HAT-P-17 b,168.434,963.3,2010
HAT-P-18 b,62.6066,885.3,2010
HAT-P-19 b,92.7976,1044.4,2010
HAT-P-2 b,2814.4368,2055.1,2007
HAT-P-20 b,2312.9484,977.9,2010
HAT-P-21 b,1294.3994,1448.8,2010
