,Planet,Earth_Masses,Temperature_Kelvin,Year,Distance
0,11 Com b,5125.4784,849.8,2008,289.814
1,11 UMi b,3523.4486,1176.6,2009,398.046
2,14 And b,1488.5752,862.8,2008,258.192
3,14 Her b,1657.327,182.4,2002,59.006
4,18 Del b,3272.7044,475.9,2008,245.478
5,24 Sex b,583.4808,450.9,2010,243.848
6,24 Sex c,482.1026,421.6,2010,243.848
7,30 Ari B b,3139.2284,365.3,2009,136.268
8,4 UMa b,2266.5496,1774.3,2007,255.91
9,42 Dra b,1186.0296,1117.7,2009,314.59
10,47 UMa b,809.1188,210.3,1996,45.84538
11,47 UMa c,173.5188,167.1,2001,45.84538
12,51 Peg b,146.5058,1245.2,1995,47.922
13,55 Cnc b,254.5578,723.9,1996,40.2284
14,55 Cnc c,52.437,517.8,2002,40.2284
15,55 Cnc d,1126.601,105,2002,40.2284
16,55 Cnc e,8.2628,1957.9,2004,40.2284
17,55 Cnc f,54.9794,335.4,2007,40.2284
18,6 Lyn b,702.0202,392.3,2008,181.908
19,61 Vir b,5.0848,1265.9,2009,27.7752
20,61 Vir c,10.4874,615.2,2009,27.7752
21,61 Vir d,22.8816,478.4,2009,27.7752
22,7 CMa b,772.8896,279.6,2011,64.385
23,70 Vir b,2371.1058,627.7,1996,59.006
24,75 Cet b,877.128,579.9,2012,265.364
25,81 Cet b,1370.0358,688.4,2008,301.55
26,CoRoT-1 b,326.0628,1899.4,2007,1499.6
27,CoRoT-10 b,875.2212,976.8,2010,1124.7
28,CoRoT-11 b,740.7918,1731.5,2010,1825.6
29,CoRoT-12 b,291.1048,1496,2010,3749
30,CoRoT-13 b,416.318,1274.7,2010,4270.6
31,CoRoT-14 b,2405.1104,1951,2010,4368.4
32,CoRoT-16 b,170.3408,1460.5,2010,2738.4
33,CoRoT-17 b,781.4702,1552.5,2010,2999.2
34,CoRoT-18 b,1105.944,1557.3,2011,2836.2
35,CoRoT-19 b,351.8046,1699.8,2011,2608
36,CoRoT-2 b,1040.1594,1548,2007,978
37,CoRoT-20 b,1348.1076,1440.9,2011,4009.8
38,CoRoT-22 b,13.0298,1046.1,2014,1929.92
39,CoRoT-23 b,977.8706,1791.2,2011,1956
40,CoRoT-25 b,84.217,1321.4,2013,3260
41,CoRoT-26 b,152.2262,1574.1,2013,5444.2
43,CoRoT-28 b,153.8152,1396.9,2015,1825.6
44,CoRoT-29 b,270.7656,1272.2,2015,2493.9
45,CoRoT-3 b,6927.7222,1694.4,2008,2216.8
47,CoRoT-5 b,146.5058,1507.1,2008,1304
49,CoRoT-7 b,4.4492,1809.3,2009,489
50,CoRoT-8 b,68.6448,853.7,2010,1238.8
51,CoRoT-9 b,268.2232,436.9,2010,1499.6
53,HAT-P-1 b,168.7518,1304.7,2006,453.14
54,HAT-P-11 b,26.3774,972.3,2009,123.88
55,HAT-P-12 b,67.0558,958.2,2009,464.55
56,HAT-P-13 b,270.4478,1658.6,2009,697.64
57,HAT-P-13 c,4535.006,528.6,2009,697.64
58,HAT-P-14 b,706.1516,1657,2010,668.3
59,HAT-P-15 b,620.0278,998,2010,619.4
60,HAT-P-16 b,1333.171,1654.4,2010,766.1
61,HAT-P-17 b,168.434,963.3,2010,293.4
62,HAT-P-18 b,62.6066,885.3,2010,541.16
63,HAT-P-19 b,92.7976,1044.4,2010,700.9
64,HAT-P-2 b,2814.4368,2055.1,2007,384.68
65,HAT-P-20 b,2312.9484,977.9,2010,228.2
66,HAT-P-21 b,1294.3994,1448.8,2010,828.04
67,HAT-P-22 b,682.6344,1291.5,2010,267.32
68,HAT-P-23 b,663.5664,2168.4,2010,1281.18
69,HAT-P-24 b,218.0108,1692.9,2010,1290.96
70,HAT-P-25 b,180.1926,1222.9,2010,968.22
71,HAT-P-26 b,18.7502,1061.5,2010,436.84
72,HAT-P-27 b,195.447,1167.7,2011,665.04
73,HAT-P-28 b,199.2606,1417.7,2011,1287.7
74,HAT-P-29 b,247.2484,1321.7,2011,1049.72
75,HAT-P-3 b,189.091,1157.9,2007,423.8
76,HAT-P-30 b,224.6846,1666,2011,629.18
77,HAT-P-31 b,688.3548,1586.5,2011,1154.04
78,HAT-P-32 b,273.6258,1785,2011,922.58
79,HAT-P-33 b,242.1636,1779.5,2011,1261.62
80,HAT-P-34 b,1058.274,1746.2,2012,837.82
81,HAT-P-35 b,334.6434,1598.2,2012,1744.1
82,HAT-P-36 b,583.163,1878.4,2012,1033.42
83,HAT-P-37 b,372.4616,1313.8,2012,1339.86
84,HAT-P-38 b,84.8526,1117.7,2012,811.74
85,HAT-P-39 b,190.0444,1750.9,2012,2092.92
86,HAT-P-4 b,213.5616,1694.2,2007,1010.6
87,HAT-P-40 b,197.036,1765.1,2012,1633.26
88,HAT-P-41 b,254.24,1937,2012,1121.44
89,HAT-P-44 b,108.052,1293.9,2013,1219.24
90,HAT-P-45 b,284.1132,1690.2,2013,994.3
91,HAT-P-46 b,157.6288,1550.2,2013,964.96
92,HAT-P-49 b,548.5228,2127.8,2014,1049.72
93,HAT-P-5 b,334.9612,1537.1,2007,1108.4
94,HAT-P-54 b,241.8458,819.2,2014,442.708
95,HAT-P-56 b,686.448,1839,2015,1012.23
96,HAT-P-57 b,448.7336,2197.7,2015,987.78
97,HAT-P-6 b,335.5968,1672.5,2007,652
98,HAT-P-7 b,565.3662,2225.2,2008,1043.2
99,HAT-P-8 b,410.5976,1772,2008,749.8
100,HAT-P-9 b,246.295,1529.9,2008,1564.8
101,HATS-1 b,591.108,1457.6,2012,987.78
102,HATS-10 b,166.5272,1406.1,2015,1616.96
103,HATS-13 b,172.2476,1244.9,2015,1551.76
104,HATS-14 b,339.4104,1274.6,2015,1672.38
105,HATS-2 b,428.3944,1575.3,2013,1173.6
106,HATS-3 b,340.3638,1647.3,2013,1812.56
107,HATS-4 b,399.4746,1394.7,2014,1369.2
108,HATS-5 b,75.6364,1035,2014,837.82
109,HATS-6 b,101.696,712.1,2014,562.676
110,HATS-9 b,264.4096,1816.4,2015,2027.72
111,HD 100655 b,423.9452,893,2011,397.72
112,HD 100777 b,370.237,343.7,2007,172.128
113,HD 10180 c,13.3476,1233.4,2010,128.444
